Date,Time,Pre_GC90,Pre_GC150,Pre_Outflow,Post_GC90,Post_GC150,Post_Outflow,Obs
3-Aug-22,13:15,0,62.1,62.1,0,62.1,62.1,64.8
3-Aug-22,13:20,0,62.1,62.1,0,62.1,62.1,63
3-Aug-22,13:25,0,62.1,62.1,0,62.1,62.1,63.9
3-Aug-22,13:30,0,62.1,62.1,0,62.1,62.1,63.9
3-Aug-22,13:35,0,62.1,62.1,0,62.1,62.1,63.9
3-Aug-22,13:40,0,62.1,62.1,0,62.1,62.1,63
3-Aug-22,13:45,0,62.1,62.1,0,62.1,62.1,63.9
3-Aug-22,13:50,0,62.1,62.1,0,62.1,62.1,63
3-Aug-22,13:55,0,62.1,62.1,0,62.1,62.1,63.9
3-Aug-22,14:00,0,62.1,62.1,0,62.1,62.1,63.9
3-Aug-22,14:05,0,62.1,62.1,0,62.1,62.1,63.9
3-Aug-22,14:10,0,62.1,62.1,339.4,62.1,401.5,63.9
3-Aug-22,14:15,0,62.1,62.1,3264.8,62.1,3326.9,63
3-Aug-22,14:20,0,62.1,62.1,4116.2,62.1,4178.3,63.9
3-Aug-22,14:25,0,62.1,62.1,1858.3,62.1,1920.4,63.9
3-Aug-22,14:30,0,62.1,62.1,2743.2,62.1,2805.3,63.9
3-Aug-22,14:35,0,62.1,62.1,3102.3,62.1,3164.4,63
3-Aug-22,14:40,0,62.1,62.1,1468.2,62.1,1530.3,63.9
3-Aug-22,14:45,0,62.1,62.1,1883,62.1,1945.1,63
3-Aug-22,14:50,0,62.1,62.1,2252.1,62.1,2314.2,63
3-Aug-22,14:55,0,62.1,62.1,1095.3,62.1,1157.4,63
3-Aug-22,15:00,0,62.1,62.1,1338.8,62.1,1400.9,63
3-Aug-22,15:05,0,62.1,62.1,1913.9,62.1,1976,61.3
3-Aug-22,15:10,0,62.1,62.1,1118,62.1,1180.1,62.1
3-Aug-22,15:15,0,62.1,62.1,856.8,62.1,918.9,63.9
3-Aug-22,15:20,0,62.1,62.1,1224.9,62.1,1287,62.1
3-Aug-22,15:25,0,62.1,62.1,1111.8,62.1,1173.9,63
3-Aug-22,15:30,0,62.1,62.1,797.5,62.1,859.6,63
3-Aug-22,15:35,0,62.1,62.1,813.6,62.1,875.7,63.9
3-Aug-22,15:40,0,62.1,62.1,905.2,62.1,967.3,446
3-Aug-22,15:45,0,62.1,62.1,818.7,62.1,880.8,562
3-Aug-22,15:50,0,62.1,62.1,639,62.1,701.1,562
3-Aug-22,15:55,0,62.1,62.1,549.2,62.1,611.3,758
3-Aug-22,16:00,0.1,62.1,62.2,619.2,62.1,681.3,962
3-Aug-22,16:05,0.1,62.1,62.2,652.3,62.1,714.4,962
3-Aug-22,16:10,0.1,62.1,62.2,535.5,62.1,597.6,1030
3-Aug-22,16:15,0.1,62.1,62.2,472.9,62.1,535,1020
3-Aug-22,16:20,0.2,62.1,62.3,442.9,62.1,505,1050
3-Aug-22,16:25,0.2,62.1,62.3,426,62.1,488.1,1050
3-Aug-22,16:30,0.2,62.1,62.3,398.1,62.1,460.2,968
3-Aug-22,16:35,0.2,62.1,62.3,386.3,62.1,448.4,824
3-Aug-22,16:40,0.3,62.1,62.4,390.8,62.1,452.9,796
3-Aug-22,16:45,0.3,62.1,62.4,342.3,62.1,404.4,678
