Date,Time,Pre_GC90,Pre_GC150,Pre_Outflow,Post_GC90,Post_GC150,Post_Outflow,Obs,,,
10-Sep-22,6:00,0,21,21,0,21,21,22.5,,,
10-Sep-22,6:05,0,21,21,0,21,21,23,,,
10-Sep-22,6:10,0,21,21,0,21,21,23,,,
10-Sep-22,6:15,0,21,21,0,21,21,22.5,,,
10-Sep-22,6:20,0,21,21,0,21,21,22.5,,,
10-Sep-22,6:25,0,21,21,0,21,21,22.5,,,
10-Sep-22,6:30,0,21,21,0,21,21,22,,,
10-Sep-22,6:35,0,21,21,0,21,21,22,,,
10-Sep-22,6:40,0,21,21,0,21,21,22,,,
10-Sep-22,6:45,0,21,21,0,21,21,22,,,
10-Sep-22,6:50,0,21,21,0,21,21,22,,,
10-Sep-22,6:55,0,21,21,0,21,21,21.5,,,
10-Sep-22,7:00,0,21,21,0,21,21,21.5,,,
10-Sep-22,7:05,0,21,21,0,21,21,22,,,
10-Sep-22,7:10,0,21,21,0,21,21,21.5,,,
10-Sep-22,7:15,0,21,21,0,21,21,21,,,
10-Sep-22,7:20,0,21,21,0,21,21,21.5,,,
10-Sep-22,7:25,0,21,21,0,21,21,21,,,
10-Sep-22,7:30,0,21,21,0,21,21,21.5,,,
10-Sep-22,7:35,0,21,21,0,21,21,21.5,,,
10-Sep-22,7:40,0,21,21,0,21,21,21,,,
10-Sep-22,7:45,0,21,21,0,21,21,21,,,
10-Sep-22,7:50,0,21,21,0,21,21,21.5,,,
10-Sep-22,7:55,0,21,21,0,21,21,21,,,
10-Sep-22,8:00,0,21,21,0,21,21,21,,,
10-Sep-22,8:05,0,21,21,0,21,21,21,,,
10-Sep-22,8:10,0,21,21,0,21,21,21,,,
10-Sep-22,8:15,0,21,21,0,21,21,21.5,,,
10-Sep-22,8:20,0,21,21,0,21,21,21,,,
10-Sep-22,8:25,0,21,21,0,21,21,21,,,
10-Sep-22,8:30,0,21,21,0,21,21,21,,,
10-Sep-22,8:35,0,21,21,0,21,21,20.5,,,
10-Sep-22,8:40,0,21,21,0,21,21,21,,,
10-Sep-22,8:45,0,21,21,0,21,21,21,,,
10-Sep-22,8:50,0,21,21,0,21,21,21,,,
10-Sep-22,8:55,0,21,21,0,21,21,20.5,,,
10-Sep-22,9:00,0,21,21,0,21,21,20.5,,,
10-Sep-22,9:05,0,21,21,0,21,21,21,,,
10-Sep-22,9:10,0,21,21,0,21,21,21,,,
10-Sep-22,9:15,0,21,21,0,21,21,21,,,
10-Sep-22,9:20,0,21,21,0,21,21,21.5,,,
10-Sep-22,9:25,0,21,21,0,21,21,21.5,,,
10-Sep-22,9:30,0,21,21,0,21,21,21,,,
10-Sep-22,9:35,0,21,21,0,21,21,21.5,,,
10-Sep-22,9:40,0,21,21,0,21,21,21.5,,,
10-Sep-22,9:45,0,21,21,0,21,21,21.5,,,
10-Sep-22,9:50,0,21,21,0,21,21,22,,,
10-Sep-22,9:55,0,21,21,0,21,21,21.5,,,
10-Sep-22,10:00,0,21,21,0,21,21,21.5,,,
10-Sep-22,10:05,0,21,21,0,21,21,21.5,,,
10-Sep-22,10:10,0,21,21,0,21,21,22,,,
10-Sep-22,10:15,0,21,21,0,21,21,22,,,
10-Sep-22,10:20,0,21,21,0,21,21,22.5,,,
10-Sep-22,10:25,0,21,21,0,21,21,22,,,
10-Sep-22,10:30,0,21,21,0,21,21,22.5,,,
10-Sep-22,10:35,0,21,21,0,21,21,22.5,,,
10-Sep-22,10:40,0,21,21,0,21,21,22.5,,,
10-Sep-22,10:45,0,21,21,0,21,21,22.5,,,
10-Sep-22,10:50,0,21,21,0,21,21,22.5,,,
10-Sep-22,10:55,0,21,21,0,21,21,23,,,
10-Sep-22,11:00,0,21,21,0,21,21,23,,,
10-Sep-22,11:05,0,21,21,0,21,21,22.5,,,
10-Sep-22,11:10,0,21,21,0,21,21,22.5,,,
10-Sep-22,11:15,0,21,21,0,21,21,22.5,,,
10-Sep-22,11:20,0,21,21,0,21,21,23,,,
10-Sep-22,11:25,0,21,21,0,21,21,22.5,,,
10-Sep-22,11:30,0,21,21,0,21,21,22.5,,,
10-Sep-22,11:35,0,21,21,0,21,21,22.5,,,
10-Sep-22,11:40,0,21,21,0,21,21,23,,,
10-Sep-22,11:45,0,21,21,0,21,21,22.5,,,
10-Sep-22,11:50,0,21,21,0,21,21,23,,,
10-Sep-22,11:55,0,21,21,0,21,21,22.5,,,
10-Sep-22,12:00,0,21,21,0,21,21,22.5,,,
10-Sep-22,12:05,0,21,21,0,21,21,22,,,
10-Sep-22,12:10,0,21,21,0,21,21,22.5,,,
10-Sep-22,12:15,0,21,21,0,21,21,22,,,
10-Sep-22,12:20,0,21,21,0,21,21,22,,,
10-Sep-22,12:25,0,21,21,0,21,21,22,,,
10-Sep-22,12:30,0,21,21,0,21,21,22,,,
10-Sep-22,12:35,0,21,21,0,21,21,22,,,
10-Sep-22,12:40,0,21,21,0,21,21,22,,,
10-Sep-22,12:45,0,21,21,0,21,21,22,,,
10-Sep-22,12:50,0,21,21,0,21,21,21.5,,,
10-Sep-22,12:55,0,21,21,0,21,21,21.5,,,
10-Sep-22,13:00,0,21,21,0,21,21,22,,,
10-Sep-22,13:05,0,21,21,0,21,21,22,,,
10-Sep-22,13:10,0,21,21,0,21,21,21.5,,,
10-Sep-22,13:15,0,21,21,0,21,21,21.5,,,
10-Sep-22,13:20,0,21,21,0,21,21,21,,,
10-Sep-22,13:25,0,21,21,0,21,21,21,,,
10-Sep-22,13:30,0,21,21,0,21,21,21,,,
10-Sep-22,13:35,0,21,21,0,21,21,21,,,
10-Sep-22,13:40,0,21,21,0,21,21,21.5,,,
10-Sep-22,13:45,0,21,21,0,21,21,21.5,,,
10-Sep-22,13:50,0,21,21,0,21,21,21,,,
10-Sep-22,13:55,0,21,21,0,21,21,21,,,
10-Sep-22,14:00,0,21,21,0,21,21,21,,,
10-Sep-22,14:05,0,21,21,0,21,21,21,,,
10-Sep-22,14:10,0,21,21,0,21,21,21,,,
10-Sep-22,14:15,0,21,21,0,21,21,20.5,,,
10-Sep-22,14:20,0,21,21,0,21,21,20.5,,,
10-Sep-22,14:25,0,21,21,0,21,21,20.5,,,
10-Sep-22,14:30,0,21,21,0,21,21,20.5,,,
10-Sep-22,14:35,0,21,21,0,21,21,20.5,,,
10-Sep-22,14:40,0,21,21,0,21,21,20.5,,,
10-Sep-22,14:45,0,21,21,0,21,21,20.5,,,
10-Sep-22,14:50,0,21,21,0,21,21,20.5,,,
10-Sep-22,14:55,0,21,21,0,21,21,21,,,
10-Sep-22,15:00,0,21,21,0,21,21,21,,,
10-Sep-22,15:05,0,21,21,0,21,21,21,,,
10-Sep-22,15:10,0,21,21,0,21,21,21,,,
10-Sep-22,15:15,0,21,21,0.1,21,21.1,21.5,,,
10-Sep-22,15:20,0,21,21,0.1,21,21.1,21.5,,,
10-Sep-22,15:25,0.1,21,21.1,592.4,21,613.4,21.5,,,
10-Sep-22,15:30,0.1,21,21.1,1924.7,21,1945.7,21.5,,,
10-Sep-22,15:35,0.1,21,21.1,1565.8,21,1586.8,21.5,,,
10-Sep-22,15:40,0.2,21,21.2,2340.4,21,2361.4,22.5,,,
10-Sep-22,15:45,0.2,21,21.2,3285.3,21,3306.3,24.6,,,
10-Sep-22,15:50,0.3,21,21.3,2382,21,2403,25.1,,,
10-Sep-22,15:55,0.3,21,21.3,2540.3,21,2561.3,30,,,
10-Sep-22,16:00,0.3,21,21.3,2076.9,21,2097.9,385,,,
10-Sep-22,16:05,0.4,21,21.4,1959.6,21,1980.6,1050,,,
10-Sep-22,16:10,0.4,21,21.4,2155.7,21,2176.7,1460,,,
10-Sep-22,16:15,0.5,21,21.5,1507.1,21,1528.1,1540,,,
10-Sep-22,16:20,1.2,21,22.2,1678.2,21,1699.2,1540,,,
10-Sep-22,16:25,3.7,21,24.7,1527.1,21,1548.1,2060,,,
10-Sep-22,16:30,10.8,21,31.8,1379.7,21,1400.7,2250,,,
10-Sep-22,16:35,24.2,21,45.2,1371.3,21,1392.3,2330,,,
10-Sep-22,16:40,42.1,21,63.1,1026.1,21,1047.1,2260,,,
10-Sep-22,16:45,63.3,21,84.3,1156.7,21,1177.7,2300,,,
10-Sep-22,16:50,93.5,21,114.5,1060.1,21,1081.1,2260,,,
10-Sep-22,16:55,109.9,21,130.9,948.1,21,969.2,2250,,,
10-Sep-22,17:00,119.3,21,140.3,891.1,21.2,912.2,2320,,,
10-Sep-22,17:05,124.7,21,145.7,898.6,21.3,919.9,2090,,,
10-Sep-22,17:10,125.5,21,146.5,896.9,21.5,918.5,1970,,,
10-Sep-22,17:15,123.9,21,144.9,870.9,21.7,892.6,1790,,,
10-Sep-22,17:20,121.3,21,142.3,961.6,21.8,983.4,1790,,,
10-Sep-22,17:25,117.8,21,138.8,976.6,21.8,998.4,1690,,,
10-Sep-22,17:30,114,21,135,1088.2,21.7,1109.9,1310,,,
10-Sep-22,17:35,109.8,21,130.8,1143.2,21.5,1164.7,1120,,,
10-Sep-22,17:40,105.7,21,126.7,1212.7,21.4,1234.1,1110,,,
10-Sep-22,17:45,101.7,21,122.7,1191,21.3,1212.3,858,,,
10-Sep-22,17:50,98,21,119,1220.3,21.2,1241.5,763,,,
10-Sep-22,17:55,94.8,21,115.8,1227.8,21.2,1249,720,,,
10-Sep-22,18:00,92,21,113,1263,21.1,1284.1,720,,,
10-Sep-22,18:05,90,21,111,1224,21.1,1245.1,637,,,
10-Sep-22,18:10,88.8,21,109.8,1180.7,21.1,1201.8,577,,,
10-Sep-22,18:15,88.7,21,109.7,1166.4,21.1,1187.4,538,,,
10-Sep-22,18:20,90,21,111,1100.8,21,1121.8,524,,,
10-Sep-22,18:25,92.9,21,113.9,1065.1,21,1086.2,524,,,
10-Sep-22,18:30,97,21,118,1020.8,21,1041.8,478,,,
10-Sep-22,18:35,101.8,21,122.8,968.6,21,989.6,442,,,
10-Sep-22,18:40,106.7,21,127.7,901.2,21,922.2,428,,,
10-Sep-22,18:45,111.1,21,132.1,863.7,21,884.7,407,,,
10-Sep-22,18:50,114.6,21,135.6,820.9,21,841.9,390,,,
10-Sep-22,18:55,117.1,21,138.1,769.6,21,790.6,377,,,
10-Sep-22,19:00,118.5,21,139.5,749.3,21,770.3,369,,,
10-Sep-22,19:05,118.8,21,139.8,722.6,21,743.7,360,,,
10-Sep-22,19:10,118.1,21,139.1,680.9,21,701.9,360,,,
10-Sep-22,19:15,116.3,21,137.3,665.3,21,686.3,360,,,
10-Sep-22,19:20,113.7,21,134.7,633.5,21,654.5,377,,,
10-Sep-22,19:25,110.4,21,131.4,611.7,21,632.7,364,,,
10-Sep-22,19:30,106.5,21,127.5,608.5,21,629.5,364,,,
10-Sep-22,19:35,102.2,21,123.2,591.6,21,612.6,356,,,
10-Sep-22,19:40,97.6,21,118.6,585.5,21,606.5,336,,,
10-Sep-22,19:45,92.9,21,113.9,579.1,21,600.1,324,,,
10-Sep-22,19:50,88.1,21,109.1,560.5,21,581.5,304,,,
10-Sep-22,19:55,83.3,21,104.3,552.6,21,573.6,297,,,
10-Sep-22,20:00,78.5,21,99.5,531.5,21,552.5,281,,,
10-Sep-22,20:05,73.8,21,94.8,519.1,21,540.1,270,,,
10-Sep-22,20:10,69.2,21,90.2,505.5,21,526.5,259,,,
10-Sep-22,20:15,64.7,21,85.7,488.8,21,509.8,263,,,
10-Sep-22,20:20,60.2,21,81.2,473.8,21,494.8,259,,,
10-Sep-22,20:25,55.4,21,76.4,455.1,21,476.1,256,,,
10-Sep-22,20:30,50.9,21,71.9,433,21,454,256,,,
10-Sep-22,20:35,46.6,21,67.6,410.3,21,431.3,252,,,
10-Sep-22,20:40,42.7,21,63.7,389.7,21,410.7,256,,,
10-Sep-22,20:45,39,21,60,368.9,21,389.9,245,,,
10-Sep-22,20:50,35.8,21,56.8,349.3,21,370.3,245,,,
10-Sep-22,20:55,32.9,21,53.9,330.9,21,351.9,234,,,
10-Sep-22,21:00,30.3,21,51.3,312.1,21,333.1,234,,,
10-Sep-22,21:05,28,21,49,296.3,21,317.3,231,,,
10-Sep-22,21:10,26.1,21,47.1,279.4,21,300.4,224,,,
10-Sep-22,21:15,24.6,21,45.6,265,21,286,227,,,
10-Sep-22,21:20,23.3,21,44.3,250,21,271,227,,,
10-Sep-22,21:25,22.3,21,43.3,235.6,21,256.6,220,,,
10-Sep-22,21:30,21.6,21,42.6,222.9,21,243.9,214,,,
10-Sep-22,21:35,21.1,21,42.1,209.7,21,230.7,210,,,
10-Sep-22,21:40,20.8,21,41.8,197.7,21,218.7,210,,,
10-Sep-22,21:45,20.7,21,41.7,186.4,21,207.4,207,,,
10-Sep-22,21:50,20.8,21,41.8,175.2,21,196.2,200,,,
10-Sep-22,21:55,21.2,21,42.2,165.5,21,186.5,200,,,
10-Sep-22,22:00,21.9,21,42.9,154.2,21,175.2,200,,,
10-Sep-22,22:05,22.9,21,43.9,143.6,21,164.6,200,,,
10-Sep-22,22:10,24.1,21,45.1,133,21,154,194,,,
10-Sep-22,22:15,25.3,21,46.3,124.4,21,145.4,190,,,
10-Sep-22,22:20,26.5,21,47.5,116.1,21,137.1,177,,,
10-Sep-22,22:25,27.4,21,48.4,108.2,21,129.2,190,,,
10-Sep-22,22:30,28,21,49,100.9,21,121.9,173,,,
10-Sep-22,22:35,28.3,21,49.3,94.3,21,115.3,184,,,
10-Sep-22,22:40,28.2,21,49.2,88.2,21,109.2,184,,,
10-Sep-22,22:45,27.8,21,48.8,82.6,21,103.6,166,,,
10-Sep-22,22:50,27.2,21,48.2,77.4,21,98.4,177,,,
10-Sep-22,22:55,26.4,21,47.4,72.5,21,93.5,170,,,
10-Sep-22,23:00,25.5,21,46.5,67.9,21,88.9,166,,,
10-Sep-22,23:05,24.4,21,45.4,63.7,21,84.7,166,,,
10-Sep-22,23:10,23.2,21,44.2,59.5,21,80.5,163,,,
10-Sep-22,23:15,22,21,43,55.5,21,76.5,163,,,
10-Sep-22,23:20,20.8,21,41.8,51.7,21,72.7,153,,,
10-Sep-22,23:25,19.5,21,40.5,48.3,21,69.3,153,,,
10-Sep-22,23:30,18.2,21,39.2,45.1,21,66.1,153,,,
10-Sep-22,23:35,17,21,38,42,21,63,146,,,
10-Sep-22,23:40,15.7,21,36.7,39,21,60,146,,,
10-Sep-22,23:45,14.5,21,35.5,36.1,21,57.1,149,,,
10-Sep-22,23:50,13.4,21,34.4,33.5,21,54.5,142,,,
10-Sep-22,23:55,12.3,21,33.3,31,21,52,146,,,
11-Sep-22,0:00,11.3,21,32.3,28.7,21,49.7,131,,,
11-Sep-22,0:05,10.3,21,31.3,26.7,21,47.7,131,,,
11-Sep-22,0:10,9.5,21,30.5,24.8,21,45.8,131,,,
11-Sep-22,0:15,8.7,21,29.7,23.2,21,44.2,135,,,
11-Sep-22,0:20,8,21,29,21.9,21,42.9,135,,,
11-Sep-22,0:25,7.3,21,28.3,20.9,21,41.9,135,,,
11-Sep-22,0:30,6.8,21,27.8,20.6,21,41.6,124,,,
11-Sep-22,0:35,6.3,21,27.3,20.8,21,41.8,124,,,
11-Sep-22,0:40,5.9,21,26.9,21.5,21,42.5,121,,,
11-Sep-22,0:45,5.5,21,26.5,22.6,21,43.6,119,,,
11-Sep-22,0:50,5.2,21,26.2,24.2,21,45.2,121,,,
11-Sep-22,0:55,5.1,21,26.1,26.8,21,47.8,119,,,
11-Sep-22,1:00,4.9,21,25.9,30.4,21,51.4,124,,,
11-Sep-22,1:05,4.9,21,25.9,34.8,21,55.8,117,,,
11-Sep-22,1:10,5,21,26,39,21,60,119,,,
11-Sep-22,1:15,5.2,21,26.2,42.4,21,63.4,113,,,
11-Sep-22,1:20,5.5,21,26.5,44.3,21,65.3,115,,,
11-Sep-22,1:25,5.9,21,26.9,45.2,21,66.2,115,,,
11-Sep-22,1:30,6.4,21,27.4,45.5,21,66.5,115,,,
11-Sep-22,1:35,7.1,21,28.1,45.6,21,66.6,115,,,
11-Sep-22,1:40,7.7,21,28.7,44.9,21,65.9,113,,,
11-Sep-22,1:45,8.4,21,29.4,43.3,21,64.3,110,,,
11-Sep-22,1:50,9,21,30,40.8,21,61.8,111,,,
11-Sep-22,1:55,9.4,21,30.4,37.6,21,58.6,108,,,
11-Sep-22,2:00,9.6,21,30.6,34.4,21,55.4,108,,,
11-Sep-22,2:05,9.7,21,30.7,31.3,21,52.3,110,,,
11-Sep-22,2:10,9.7,21,30.7,28.9,21,49.9,110,,,
11-Sep-22,2:15,9.5,21,30.5,27,21,48,105,,,
11-Sep-22,2:20,9.2,21,30.2,25.6,21,46.6,105,,,
11-Sep-22,2:25,8.9,21,29.9,24.6,21,45.6,107,,,
11-Sep-22,2:30,8.5,21,29.5,23.7,21,44.7,107,,,
11-Sep-22,2:35,8,21,29,22.9,21,43.9,105,,,
11-Sep-22,2:40,7.6,21,28.6,22,21,43,104,,,
11-Sep-22,2:45,7.1,21,28.1,21,21,42,104,,,
11-Sep-22,2:50,6.6,21,27.6,19.8,21,40.8,104,,,
11-Sep-22,2:55,6.1,21,27.1,18.7,21,39.7,105,,,
11-Sep-22,3:00,5.7,21,26.7,17.6,21,38.6,105,,,
