Date,Time,Pre_GC90,Pre_GC150,Pre_Outflow,Post_GC90,Post_GC150,Post_Outflow,Obs
9-Jul-22,7:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,7:45,0,29.8,29.8,0,29.8,29.8,32.6
9-Jul-22,7:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,7:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,8:00,0,29.8,29.8,0,29.8,29.8,33.2
9-Jul-22,8:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,8:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,8:15,0,29.8,29.8,0,29.8,29.8,33.2
9-Jul-22,8:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,8:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,8:30,0,29.8,29.8,0,29.8,29.8,33.2
9-Jul-22,8:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,8:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,8:45,0,29.8,29.8,0,29.8,29.8,32.6
9-Jul-22,8:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,8:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,9:00,0,29.8,29.8,0,29.8,29.8,32.6
9-Jul-22,9:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,9:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,9:15,0,29.8,29.8,0,29.8,29.8,32.6
9-Jul-22,9:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,9:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,9:30,0,29.8,29.8,0,29.8,29.8,32.6
9-Jul-22,9:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,9:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,9:45,0,29.8,29.8,0,29.8,29.8,31.5
9-Jul-22,9:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,9:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,10:00,0,29.8,29.8,0,29.8,29.8,32.6
9-Jul-22,10:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,10:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,10:15,0,29.8,29.8,0,29.8,29.8,32.1
9-Jul-22,10:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,10:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,10:30,0,29.8,29.8,0,29.8,29.8,32.1
9-Jul-22,10:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,10:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,10:45,0,29.8,29.8,0,29.8,29.8,32.1
9-Jul-22,10:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,10:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,11:00,0,29.8,29.8,0,29.8,29.8,32.6
9-Jul-22,11:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,11:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,11:15,0,29.8,29.8,0,29.8,29.8,32.1
9-Jul-22,11:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,11:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,11:30,0,29.8,29.8,0,29.8,29.8,31.5
9-Jul-22,11:35,0,29.8,29.8,0,29.8,29.8,
