Date,Time,Inflow GC90,InflowGC150,Outflow
10-Jul-22,0:20,6.6,0,6.6
10-Jul-22,0:25,5.8,0,5.8
10-Jul-22,0:30,5,0,5
10-Jul-22,0:35,4.3,0,4.3
10-Jul-22,0:40,3.8,0,3.8
10-Jul-22,0:45,3.2,0,3.2
10-Jul-22,0:50,2.8,0,2.8
10-Jul-22,0:55,2.4,0,2.4
10-Jul-22,1:00,2.1,0,2.1
10-Jul-22,1:05,1.8,0,1.8
10-Jul-22,1:10,1.6,0,1.6
10-Jul-22,1:15,1.3,0,1.3
10-Jul-22,1:20,1.1,0,1.1
10-Jul-22,1:25,0.9,0,0.9
10-Jul-22,1:30,0.6,0,0.6
10-Jul-22,1:35,0.3,0,0.3
10-Jul-22,1:40,0.2,0,0.2
10-Jul-22,1:45,0.1,0,0.1
10-Jul-22,1:50,0.1,0,0.1
10-Jul-22,1:55,0,0,0
10-Jul-22,2:00,0,0,0
10-Jul-22,2:05,0,0,0
10-Jul-22,2:10,0,0,0
10-Jul-22,2:15,0,0,0
10-Jul-22,2:20,0,0,0
10-Jul-22,2:25,0,0,0
10-Jul-22,2:30,0,0,0
10-Jul-22,2:35,0,0,0
10-Jul-22,2:40,0,0,0
10-Jul-22,2:45,0,0,0
10-Jul-22,2:50,0,0,0
10-Jul-22,2:55,0,0,0
10-Jul-22,3:00,0,0,0
10-Jul-22,3:05,0,0,0
10-Jul-22,3:10,0,0,0
10-Jul-22,3:15,0,0,0
10-Jul-22,3:20,0,0,0
10-Jul-22,3:25,0,0,0
10-Jul-22,3:30,0,0,0
10-Jul-22,3:35,0,0,0
10-Jul-22,3:40,0,0,0
10-Jul-22,3:45,0,0,0
10-Jul-22,3:50,0,0,0
10-Jul-22,3:55,0,0,0
10-Jul-22,4:00,0,0,0
10-Jul-22,4:05,0,0,0
10-Jul-22,4:10,0,0,0
10-Jul-22,4:15,0,0,0
10-Jul-22,4:20,0,0,0
10-Jul-22,4:25,0,0,0
10-Jul-22,4:30,0,0,0
10-Jul-22,4:35,0,0,0
10-Jul-22,4:40,0,0,0
10-Jul-22,4:45,0,0,0
10-Jul-22,4:50,0,0,0
10-Jul-22,4:55,0,0,0
10-Jul-22,5:00,0,0,0
10-Jul-22,5:05,0,0,0
10-Jul-22,5:10,0,0,0
10-Jul-22,5:15,0,0,0
10-Jul-22,5:20,0,0,0
10-Jul-22,5:25,0,0,0
10-Jul-22,5:30,0,0,0
10-Jul-22,5:35,0,0,0
10-Jul-22,5:40,0,0,0
10-Jul-22,5:45,0,0,0
10-Jul-22,5:50,0,0,0
