TimeStamp,Discharge,O2,Sp Cond,Turbidity,Water Temp,fDOM,pH
05/10/2022 00:00,2.33,5.41,1362.3,16.065,16.021,10.7610274,9.265771091
05/10/2022 00:15,2.33,5.4,1362.3,16.065,15.964,10.88679524,9.253621709
05/10/2022 00:30,2.33,5.39,1361.55,16.215,15.897,10.78756309,9.246472327
05/10/2022 00:45,2.33,5.39,1363.5,16.105,15.815,10.79333093,9.239322945
05/10/2022 01:00,2.33,5.37,1362.9,16.11,15.728,10.91909877,9.227173563
05/10/2022 01:15,2.33,5.34,1364.35,15.985,15.624,10.71986662,9.215024181
05/10/2022 01:30,2.33,5.32,1365.65,15.845,15.536,10.74563446,9.197874798
05/10/2022 01:45,2.33,5.31,1366,15.735,15.439,10.63140231,9.190725416
05/10/2022 02:00,2.2,5.28,1367.4,16.24,15.338,10.68217015,9.168576034
05/10/2022 02:15,2.2,5.27,1367.9,15.995,15.237,10.597938,9.156426652
05/10/2022 02:30,2.2,5.25,1368.75,16.295,15.118,10.59370584,9.14427727
05/10/2022 02:45,2.2,5.25,1370.45,16.095,14.995,10.66947368,9.132127888
05/10/2022 03:00,2.2,5.25,1371.3,15.665,14.8845,10.71024153,9.119978506
05/10/2022 03:15,2.2,5.24,1371.7,16.165,14.765,10.60100937,9.097829124
05/10/2022 03:30,2.2,5.24,1371.15,15.5,14.641,10.62677722,9.085679742
05/10/2022 03:45,2.2,5.26,1371.5,14.955,14.54,10.71754506,9.07353036
05/10/2022 04:00,2.2,5.28,1371.7,16.655,14.431,10.65331291,9.061380978
05/10/2022 04:15,2.2,5.29,1373.6,15.965,14.334,10.68408075,9.059231596
05/10/2022 04:30,2.2,5.31,1376.6,15.75,14.219,10.59484859,9.037082214
05/10/2022 04:45,2.2,5.32,1373.5,15.675,14.1,10.58561644,9.024932832
05/10/2022 05:00,2.2,5.32,1372.8,15.595,13.995,10.52638428,9.01278345
05/10/2022 05:15,2.08,5.32,1376.4,16.335,13.89,10.39715213,9.000634068
05/10/2022 05:30,2.08,5.315,1375.9,15.535,13.786,10.25291997,8.988484686
05/10/2022 05:45,2.08,5.31,1373.1,14.565,13.674,10.24868782,8.976335304
05/10/2022 06:00,1.97,5.33,1374.9,13.565,13.5515,10.45445566,8.964185922
05/10/2022 06:15,1.97,5.36,1375.2,12.915,13.444,10.3952235,8.952036539
05/10/2022 06:30,1.97,5.39,1375.9,12.59,13.372,10.30099135,8.939887157
05/10/2022 06:45,1.97,5.43,1375.2,11.39,13.282,10.47675919,8.937737775
05/10/2022 07:00,1.97,5.46,1375.3,18.04,13.207,10.26252704,8.935588393
05/10/2022 07:15,1.97,5.59,1376.8,9.8,13.182,10.25829488,8.933439011
05/10/2022 07:30,1.97,5.78,1376,8.86,13.268,10.26906273,8.951289629
05/10/2022 07:45,1.97,5.96,1377.9,8.975,13.3685,10.33983057,8.954140247
05/10/2022 08:00,1.97,6.15,1377.9,8.4,13.5025,10.29559841,8.966990865
05/10/2022 08:15,1.97,6.43,1376.8,8.2,13.727,10.36136626,8.984841483
05/10/2022 08:30,1.86,6.77,1378.5,8.175,13.967,10.2321341,9.022692101
05/10/2022 08:45,1.86,7.04,1379.3,7.61,14.275,10.38290195,9.050542719
05/10/2022 09:00,1.86,7.39,1379.5,7.765,14.5985,10.37866979,9.078393337
05/10/2022 09:15,1.86,7.69,1380.4,7.71,15.001,10.44443764,9.116243955
05/10/2022 09:30,1.86,7.99,1380.9,7.555,15.395,10.38520548,9.154094573
05/10/2022 09:45,1.86,8.21,1381,7.45,15.815,10.33097332,9.181945191
05/10/2022 10:00,1.86,8.47,1381,8.06,16.2765,10.36174117,9.229795809
05/10/2022 10:15,1.86,8.68,1381.9,7.825,16.7755,10.38250901,9.257646427
05/10/2022 10:30,1.86,8.85,1380.75,7.44,17.2595,10.35827686,9.295497045
05/10/2022 10:45,1.75,9.01,1382.45,7.795,17.7285,10.2590447,9.323347663
05/10/2022 11:00,1.86,9.16,1383.2,12.34,18.236,10.07481255,9.36119828
05/10/2022 11:15,1.75,9.29,1383.6,8.91,18.711,10.08558039,9.389048898
05/10/2022 11:30,1.75,9.37,1383.95,8.665,19.245,9.981348234,9.416899516
05/10/2022 11:45,1.75,9.47,1384.4,8.54,19.749,10.14211608,9.454750134
05/10/2022 12:00,1.75,9.57,1385.4,8.96,20.2655,9.802883922,9.482600752
05/10/2022 12:15,1.86,9.66,1386.1,9.145,20.704,10.39865177,9.51045137
05/10/2022 12:30,1.75,9.66,1387.3,10.085,21.042,10.12941961,9.533301988
05/10/2022 12:45,1.75,9.66,1384.35,10.915,21.4975,10.56018745,9.556152606
05/10/2022 13:00,1.75,9.65,1388.6,10.76,21.9195,10.3759553,9.584003224
